____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:43:03 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  1003.2 wakeup/s;CPU:  16.3% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.5%;384.2;Interrupt;[3] net_rx(softirq);  1.53 W  
  0.1%;191.6;Timer;tick_sched_timer;  758 mW  
  6.6%;115.9;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  560 mW  
  0.0%;102.4;Process;[PID 11] [rcu_sched];  405 mW  
  0.0%; 36.2;Process;[PID 868] /usr/lib/snapd/snapd ;  143 mW  
  0.0%; 18.3;Process;[PID 8813] /usr/bin/containerd ; 72.4 mW  
  0.0%; 12.1;Timer;hrtimer_wakeup; 48.1 mW  
  0.0%; 11.9;Process;[PID 804] /lib/systemd/systemd-logind ; 47.6 mW  
  0.0%; 10.2;Process;[PID 8814] /usr/bin/containerd ; 40.7 mW  
  0.1%;  9.9;Process;[PID 1] /sbin/init ; 40.3 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  5.4 ms/s;384.2;;;;Interrupt;[3] net_rx(softirq);  1.53 W  
  1.0 ms/s;191.6;;;;Timer;tick_sched_timer;  758 mW  
 65.6 ms/s;115.9;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  560 mW  
446.3 us/s;102.4;;;;Process;[PID 11] [rcu_sched];  405 mW  
241.8 us/s; 36.2;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  143 mW  
202.7 us/s; 18.3;;;;Process;[PID 8813] /usr/bin/containerd ; 72.4 mW  
320.1 us/s; 12.1;;;;Timer;hrtimer_wakeup; 48.1 mW  
452.0 us/s; 11.9;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 47.6 mW  
297.1 us/s; 10.2;;;;Process;[PID 8814] /usr/bin/containerd ; 40.7 mW  
  0.7 ms/s;  9.9;;;;Process;[PID 1] /sbin/init ; 40.3 mW  
 55.0 us/s;  9.3;;;;Interrupt;[4] block(softirq); 36.7 mW  
 34.2 us/s;  8.5;;;;kWork;psi_avgs_work; 33.5 mW  
304.1 us/s;  7.5;;;;Interrupt;[28] virtio1-output.0; 30.0 mW  
142.7 us/s;  6.8;;;;Process;[PID 8818] /usr/bin/containerd ; 27.1 mW  
 17.2 ms/s; 0.07;;;;Process;[PID 19756] landscape-sysin; 27.0 mW  
 14.8 ms/s; 0.07;;;;Process;[PID 19670] landscape-sysin; 23.4 mW  
 14.4 ms/s; 0.07;;;;Process;[PID 19584] landscape-sysin; 22.7 mW  
  1.4 ms/s;  4.7;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 20.9 mW  
  0.8 ms/s;  4.4;;;;Interrupt;[7] sched(softirq); 18.6 mW  
 23.0 us/s;  4.5;;;;kWork;free_work; 17.7 mW  
132.9 us/s;  2.9;;;;Process;[PID 8819] /usr/bin/containerd ; 11.5 mW  
  1.0 ms/s;  2.3;;;;Process;[PID 19646] sshd; 10.5 mW  
  1.0 ms/s;  2.3;;;;Process;[PID 19559] sshd; 10.4 mW  
491.0 us/s;  1.9;;;;Process;[PID 378] /lib/systemd/systemd-journald ; 8.40 mW  
 43.1 us/s;  1.8;;;;Process;[PID 531] /sbin/multipathd -d -s ; 7.17 mW  
185.8 us/s;  1.7;;;;kWork;memcg_kmem_cache_create_func; 7.13 mW  
  0.8 ms/s;  1.3;;;;Process;[PID 19730] sshd: outscale [priv] ; 6.56 mW  
101.5 us/s;  1.5;;;;Process;[PID 865] /usr/lib/accountsservice/accounts-daemon ; 6.21 mW  
 14.3 us/s;  1.5;;;;Process;[PID 10] [ksoftirqd/0]; 6.08 mW  
404.9 us/s;  1.3;;;;Process;[PID 19560] sshd; 5.63 mW  
392.0 us/s;  1.2;;;;Process;[PID 19647] sshd; 5.35 mW  
404.9 us/s;  1.1;;;;Process;[PID 19731] sshd; 5.11 mW  
121.2 us/s;  1.2;;;;Process;[PID 881] /usr/lib/policykit-1/polkitd --no-debug ; 4.93 mW  
 66.6 us/s;  1.2;;;;Process;[PID 862] /usr/sbin/rsyslogd -n -iNONE ; 4.84 mW  
119.7 us/s;  1.1;;;;Process;[PID 18006] ifstat -n -t -w -i eth0 ; 4.40 mW  
  2.1 ms/s; 0.27;;;;Process;[PID 19774] 91-release-upgr; 4.35 mW  
  9.7 us/s;  1.0;;;;kWork;blk_mq_requeue_work; 3.96 mW  
487.3 us/s;  0.8;;;;Process;[PID 19570] systemd-udevd; 3.92 mW  
  2.0 ms/s; 0.20;;;;Process;[PID 19602] 91-release-upgr; 3.90 mW  
 98.0 us/s;  0.9;;;;Process;[PID 866] /usr/lib/udisks2/udisksd ; 3.57 mW  
 78.6 us/s;  0.8;;;;Process;[PID 864] /usr/sbin/rsyslogd -n -iNONE ; 3.28 mW  
 60.3 us/s;  0.8;;;;Process;[PID 797] /usr/lib/accountsservice/accounts-daemon ; 3.25 mW  
563.5 us/s;  0.6;;;;Process;[PID 19659] systemd-udevd; 3.25 mW  
381.3 us/s;  0.7;;;;Process;[PID 870] /usr/lib/snapd/snapd ; 3.23 mW  
203.1 us/s;  0.7;;;;Process;[PID 19727] sshd; 3.21 mW  
159.7 us/s;  0.7;;;;Process;[PID 19641] sshd; 2.88 mW  
461.3 us/s;  0.5;;;;Process;[PID 19649] systemd-udevd; 2.83 mW  
482.6 us/s;  0.5;;;;Process;[PID 19645] systemd-udevd; 2.60 mW  
 97.9 us/s;  0.6;;;;Process;[PID 878] /usr/lib/policykit-1/polkitd --no-debug ; 2.52 mW  
 11.4 us/s;  0.6;;;;Timer;timerfd_tmrproc; 2.39 mW  
  1.0 ms/s; 0.20;;;;Process;[PID 19688] lsb_release; 2.34 mW  
 34.3 us/s;  0.5;;;;Process;[PID 303] [jbd2/vda1-8]; 2.16 mW  
381.1 us/s;  0.3;;;;Process;[PID 19558] systemd-udevd; 1.91 mW  
  1.0 ms/s; 0.07;;;;Process;[PID 19688] 91-release-upgr; 1.86 mW  
  3.3 us/s;  0.5;;;;Timer;watchdog_timer_fn; 1.85 mW  
274.8 us/s;  0.3;;;;Process;[PID 19741] /lib/systemd/systemd-udevd ; 1.74 mW  
  6.7 us/s;  0.4;;;;kWork;blk_mq_run_work_fn; 1.59 mW  
  5.8 us/s;  0.4;;;;kWork;css_free_rwork_fn; 1.59 mW  
  2.8 us/s;  0.4;;;;Timer;sched_rt_period_timer; 1.58 mW  
 82.1 us/s;  0.3;;;;kWork;kmemcg_workfn; 1.44 mW  
 14.6 us/s;  0.3;;;;Process;[PID 1963] [jbd2/sda1-8]; 1.34 mW  
  5.7 us/s;  0.3;;;;Process;[PID 24] [ksoftirqd/2]; 1.32 mW  
  2.3 us/s;  0.3;;;;kWork;kernfs_notify_workfn; 1.32 mW  
481.0 us/s; 0.13;;;;Process;[PID 17845] powertop --csv=/data/metrics/power.csv --time=15 --iteration=1000 ; 1.28 mW  
100.0 us/s; 0.27;;;;Process;[PID 19636] update-motd-fsc; 1.21 mW  
 97.5 us/s; 0.27;;;;Process;[PID 19722] update-motd-fsc; 1.20 mW  
249.8 us/s; 0.20;;;;Process;[PID 19729] /lib/systemd/systemd-udevd ; 1.18 mW  
 23.1 us/s; 0.27;;;;Process;[PID 527] /sbin/multipathd -d -s ; 1.09 mW  
 17.1 us/s; 0.27;;;;kWork;wb_workfn; 1.08 mW  
185.1 us/s; 0.20;;;;Process;[PID 19728] sshd; 1.08 mW  
 15.7 us/s; 0.27;;;;Process;[PID 19580] 50-landscape-sy; 1.08 mW  
182.4 us/s; 0.20;;;;Process;[PID 19642] sshd; 1.07 mW  
688.5 us/s;;;;;Process;[PID 789] /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only ; 1.07 mW  
 12.5 us/s; 0.27;;;;Process;[PID 30] [ksoftirqd/3]; 1.07 mW  
177.1 us/s; 0.20;;;;Process;[PID 19566] systemd-udevd; 1.07 mW  
  7.4 us/s; 0.27;;;;Process;[PID 18] [ksoftirqd/1]; 1.06 mW  
  1.1 us/s; 0.27;;;;kWork;blk_mq_timeout_work; 1.05 mW  
641.1 us/s;;;;;Process;[PID 19670] 50-landscape-sy; 1.00 mW  
640.3 us/s;;;;;Interrupt;[9] RCU(softirq);  999 uW  
613.2 us/s;;;;;Process;[PID 19756] 50-landscape-sy;  957 uW  
103.9 us/s; 0.20;;;;Process;[PID 19705] apt-config;  952 uW  
 93.4 us/s; 0.20;;;;Process;[PID 19630] 97-overlayroot;  935 uW  
261.4 us/s; 0.13;;;;Process;[PID 19658] systemd-udevd;  934 uW  
598.1 us/s;;;;;Process;[PID 19584] 50-landscape-sy;  933 uW  
250.9 us/s; 0.13;;;;Process;[PID 19611] update-motd-hwe;  918 uW  
248.2 us/s; 0.13;;;;Process;[PID 19759] landscape-sysin;  914 uW  
 78.8 us/s; 0.20;;;;Process;[PID 19671] landscape-sysin;  913 uW  
 73.3 us/s; 0.20;;;;Process;[PID 19708] update-motd-hwe;  904 uW  
225.1 us/s; 0.13;;;;Process;[PID 19697] update-motd-hwe;  878 uW  
 56.1 us/s; 0.20;;;;Process;[PID 19692] release-upgrade;  877 uW  
 55.8 us/s; 0.20;;;;Process;[PID 19690] 91-release-upgr;  877 uW  
 53.9 us/s; 0.20;;;;Process;[PID 19604] 91-release-upgr;  874 uW  
 52.4 us/s; 0.20;;;;Process;[PID 19634] update-motd-fsc;  871 uW  
 52.1 us/s; 0.20;;;;Process;[PID 19709] update-motd-hwe;  871 uW  
 51.5 us/s; 0.20;;;;Process;[PID 19582] 50-landscape-sy;  870 uW  
 50.2 us/s; 0.20;;;;Process;[PID 19719] update-motd-fsc;  868 uW  
 49.9 us/s; 0.20;;;;Process;[PID 19623] update-motd-hwe;  868 uW  
 48.9 us/s; 0.20;;;;Process;[PID 19633] update-motd-fsc;  866 uW  
 46.7 us/s; 0.20;;;;Process;[PID 19721] update-motd-fsc;  863 uW  
 45.2 us/s; 0.20;;;;Process;[PID 19635] update-motd-fsc;  860 uW  


The system baseline power is estimated at:  4.22  W;
____________________________________________________________________
 *  *  *   Device Power Report   *  *  *

Usage;Device Name;PW Estimate
 16.4%;CPU misc;  4.22 W   
 16.4%;CPU core;    0 mW   
 16.4%;DRAM;    0 mW   
702.3 pkts/s;Network interface: eth0 (virtio_net);           
100.0%;PCI Device: Red Hat, Inc. Virtio RNG;           
100.0%;PCI Device: Intel Corporation 82371SB PIIX3 USB [Natoma/Triton II];           
100.0%;PCI Device: Intel Corporation 440FX - 82441FX PMC [Natoma];           
100.0%;USB device: UHCI Host Controller;           
100.0%;USB device: QEMU USB Tablet (QEMU);           
100.0%;PCI Device: Red Hat, Inc. Virtio block device;           
100.0%;PCI Device: Device 1234:1111;           
